Bundle,State
org.eclipse.swt.examples_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.examples.browser.demos_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.examples.launcher_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.examples.ole.win32_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.examples.views_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.gtk.aix.ppc_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.aix.ppc64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.hpux.ia64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.ppc_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.ppc64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.ppc64le_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.s390_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.s390x_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.x86_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.linux.x86_64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.solaris.sparcv9_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.gtk.solaris.x86_64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.tools_3.105.3.v20161230-1118,STARTING
org.eclipse.swt.win32.win32.x86_3.105.3.v20170228-0512,INSTALLED
org.eclipse.swt.win32.win32.x86_64_3.105.3.v20170228-0512,INSTALLED
org.eclipse.team.core_3.8.0.v20160418-1534,STARTING
org.eclipse.team.cvs.core_3.4.0.v20160418-1534,STARTING
org.eclipse.team.cvs.ssh2_3.3.0.v20160418-1534,STARTING
org.eclipse.team.cvs.ui_3.4.0.v20160518-1906,STARTING
org.eclipse.team.examples.filesystem_3.5.0.v20160323-1650,STARTING
org.eclipse.team.ui_3.8.0.v20160518-1906,STARTING
org.eclipse.test.performance_3.12.0.v20170213-1316,STARTING
org.eclipse.test.performance.win32_3.1.200.v20140518-1929,RESOLVED
org.eclipse.text_3.6.0.v20160503-1849,RESOLVED
org.eclipse.ui_3.108.1.v20160929-1045,STARTING
org.eclipse.ui.browser_3.5.2.v20161114-0210,STARTING
org.eclipse.ui.cheatsheets_3.5.0.v20160504-0839,STARTING
org.eclipse.ui.cocoa_1.1.100.v20151202-1450,RESOLVED
org.eclipse.ui.console_3.6.201.v20161107-0337,STARTING
org.eclipse.ui.editors_3.10.1.v20161106-1856,STARTING
org.eclipse.ui.examples.contributions_3.4.0.v20160401-0528,STARTING
org.eclipse.ui.examples.fieldassist_1.1.100.v20160330-1439,STARTING
org.eclipse.ui.examples.javaeditor_3.2.0.v20160503-1849,STARTING
org.eclipse.ui.examples.multipageeditor_3.2.300.v20151104-0051,STARTING
org.eclipse.ui.examples.propertysheet_3.2.400.v20160329-2017,STARTING
org.eclipse.ui.examples.readmetool_3.4.0.v20160329-2017,STARTING
org.eclipse.ui.examples.undo_3.2.301.v20160329-2017,STARTING
org.eclipse.ui.examples.views.properties.tabbed.article_3.2.1.v20160330-1438,STARTING
org.eclipse.ui.externaltools_3.3.100.v20160518-1858,STARTING
org.eclipse.ui.forms_3.7.1.v20161220-1635,RESOLVED
org.eclipse.ui.ide_3.12.3.v20170119-0935,STARTING
org.eclipse.ui.ide.application_1.1.101.v20160829-0827,STARTING
org.eclipse.ui.intro_3.5.2.v20161116-1147,STARTING
org.eclipse.ui.intro.quicklinks_1.0.0.v20160515-0255,STARTING
org.eclipse.ui.intro.universal_3.3.1.v20160829-1558,STARTING
org.eclipse.ui.monitoring_1.1.2.v20170203-1115,STARTING
org.eclipse.ui.navigator_3.6.101.v20161006-1120,STARTING
org.eclipse.ui.navigator.resources_3.5.101.v20161006-0640,STARTING
org.eclipse.ui.net_1.3.0.v20160426-1633,STARTING
org.eclipse.ui.themes_1.1.300.v20161107-1827,RESOLVED
org.eclipse.ui.trace_1.0.400.v20160509-1055,STARTING
org.eclipse.ui.views_3.8.102.v20170111-0801,RESOLVED
org.eclipse.ui.views.log_1.2.1.v20160829-0826,STARTING
org.eclipse.ui.views.properties.tabbed_3.7.0.v20160310-0903,STARTING
org.eclipse.ui.win32_3.3.0.v20160505-1310,INSTALLED
org.eclipse.ui.workbench_3.108.3.v20170216-1539,STARTING
org.eclipse.ui.workbench.texteditor_3.10.1.v20160818-1626,STARTING
org.eclipse.update.core_3.2.800.v20160413-0713,STARTING
org.hamcrest_1.1.0.v20090501071000,STARTING
org.hamcrest.core_1.3.0.v201303031735,STARTING
org.hamcrest.integration_1.1.0.v201303031500,STARTING
org.hamcrest.library_1.1.0.v20090501071000,STARTING
org.hamcrest.text_1.1.0.v20090501071000,STARTING
org.junit_4.12.0.v201504281640,RESOLVED
org.mockito_1.8.4.v201303031500,STARTING
org.objectweb.asm_5.0.1.v201404251740,RESOLVED
org.objectweb.asm.tree_5.0.1.v201404251740,RESOLVED
org.objenesis_1.0.0.v201505121915,STARTING
org.sat4j.core_2.3.5.v201308161310,RESOLVED
org.sat4j.pb_2.3.5.v201404071733,RESOLVED
org.slf4j.api_1.7.2.v20121108-1250,RESOLVED
org.tukaani.xz_1.3.0.v201308270617,RESOLVED
org.w3c.css.sac_1.3.1.v200903091627,RESOLVED
org.w3c.dom.events_3.0.0.draft20060413_v201105210656,RESOLVED
org.w3c.dom.smil_1.0.1.v200903091627,RESOLVED
org.w3c.dom.svg_1.1.0.v201011041433,RESOLVED
swat.osgi.metadatatracker_1.0.0,STOPPING
