Bundle,Classpath Size
org.eclipse.jdt.compiler.apt_1.2.100.v20160418-1457,0
org.eclipse.jdt.compiler.tool_1.1.100.v20160418-1457,0
org.eclipse.jdt.core_3.12.3.v20170228-1205,3386
org.eclipse.jdt.core.compiler.batch_3.12.3.v20170228-1205,599
org.eclipse.jdt.core.manipulation_1.7.0.v20160419-0705,4103
org.eclipse.jdt.debug_3.10.1.v20160811-0441,546
org.eclipse.jdt.debug.ui_3.7.201.v20160811-0450,15966
org.eclipse.jdt.junit_3.9.0.v20160421-1701,15563
org.eclipse.jdt.junit.core_3.8.0.v20160421-1701,3662
org.eclipse.jdt.junit.runtime_3.4.600.v20160505-0715,367
org.eclipse.jdt.junit4.runtime_1.1.600.v20160505-0715,380
org.eclipse.jdt.launching_3.8.101.v20161111-2014,4605
org.eclipse.jdt.launching.macosx_3.3.0.v20160418-1524,1138
org.eclipse.jdt.launching.ui.macosx_1.1.0.v20160418-1524,5193
org.eclipse.jdt.ui_3.12.2.v20160929-0804,18578
org.eclipse.jetty.continuation_9.3.9.v20160517,52
org.eclipse.jetty.http_9.3.9.v20160517,255
org.eclipse.jetty.io_9.3.9.v20160517,270
org.eclipse.jetty.security_9.3.9.v20160517,593
org.eclipse.jetty.server_9.3.9.v20160517,659
org.eclipse.jetty.servlet_9.3.9.v20160517,695
org.eclipse.jetty.util_9.3.9.v20160517,335
org.eclipse.jface_3.12.2.v20170113-2113,1801
org.eclipse.jface.databinding_1.8.1.v20161026-1531,2498
org.eclipse.jface.examples.databinding_1.0.300.v20160517-0715,3821
org.eclipse.jface.text_3.11.2.v20170220-1911,3987
org.eclipse.jsch.core_1.3.0.v20160422-1917,1216
org.eclipse.jsch.ui_1.3.0.v20160323-1650,1247
org.eclipse.ltk.core.refactoring_3.7.0.v20160419-0705,2476
org.eclipse.ltk.ui.refactoring_3.8.0.v20160518-1817,5182
org.eclipse.osgi.compatibility.plugins_1.0.0.v20131023-1243,0
org.eclipse.osgi.compatibility.state_1.0.200.v20160504-1419,0
org.eclipse.osgi.services_3.5.100.v20160504-1419,238
org.eclipse.osgi.util_3.3.100.v20150423-1351,59
org.eclipse.pde_3.12.3.v20170301-0400,0
org.eclipse.pde.api.tools_1.1.2.v20161115-0549,5051
org.eclipse.pde.api.tools.annotations_1.0.100.v20160418-1724,5
org.eclipse.pde.api.tools.ee.cdcfoundation10_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.cdcfoundation11_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se12_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se13_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se14_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.j2se15_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase16_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase17_1.0.100.v20130327-1631,0
org.eclipse.pde.api.tools.ee.javase18_1.0.0.v20160419-1303,0
org.eclipse.pde.api.tools.ee.jre11_1.0.200.v20130327-1631,0
org.eclipse.pde.api.tools.ee.osgiminimum12_1.0.300.v20130327-1631,0
org.eclipse.pde.api.tools.ui_1.1.0.v20160519-0701,17359
org.eclipse.pde.build_3.9.200.v20160204-0642,709
org.eclipse.pde.core_3.11.1.v20161115-1951,5441
org.eclipse.pde.ds.annotations_1.0.0.v20160525-1437,7416
org.eclipse.pde.ds.core_1.1.0.v20151201-1325,3985
org.eclipse.pde.ds.ui_1.1.0.v20160518-1843,14169
org.eclipse.pde.junit.runtime_3.5.0.v20151013-0625,1389
org.eclipse.pde.launching_3.6.401.v20161115-0549,4793
org.eclipse.pde.runtime_3.5.0.v20160418-1724,15450
org.eclipse.pde.tools.versioning_1.0.200.v20140518-1929,1174
org.eclipse.pde.ua.core_1.0.500.v20160204-0642,2216
org.eclipse.pde.ua.ui_1.1.0.v20160518-1843,8318
org.eclipse.pde.ui_3.9.100.v20161102-0517,25534
org.eclipse.pde.ui.templates_3.6.0.v20160424-1948,6029
org.eclipse.platform_4.6.3.v20170301-0400,3
org.eclipse.rcp_4.6.3.v20170301-0400,0
org.eclipse.releng.tools_3.9.0.v20160416-2220,7584
org.eclipse.sdk_4.6.3.v20170301-0400,0
org.eclipse.sdk.examples_3.5.600.v20170301-0400,0
org.eclipse.search_3.11.1.v20161113-1700,5602
org.eclipse.swt_3.105.3.v20170228-0512,982
org.eclipse.swt.cocoa.macosx.x86_64_3.105.3.v20170228-0512,0
org.eclipse.swt.examples_3.105.3.v20161230-1118,1546
org.eclipse.swt.examples.browser.demos_3.105.3.v20161230-1118,1017
org.eclipse.swt.examples.launcher_3.105.3.v20161230-1118,1019
org.eclipse.swt.examples.ole.win32_3.105.3.v20161230-1118,3909
org.eclipse.swt.examples.views_3.105.3.v20161230-1118,573
org.eclipse.swt.tools_3.105.3.v20161230-1118,4127
org.eclipse.team.core_3.8.0.v20160418-1534,1715
org.eclipse.team.cvs.core_3.4.0.v20160418-1534,2692
org.eclipse.team.cvs.ssh2_3.3.0.v20160418-1534,1761
org.eclipse.team.cvs.ui_3.4.0.v20160518-1906,8814
org.eclipse.team.examples.filesystem_3.5.0.v20160323-1650,5350
org.eclipse.team.ui_3.8.0.v20160518-1906,10737
org.eclipse.test.performance_3.12.0.v20170213-1316,1401
org.eclipse.test.performance.win32_3.1.200.v20140518-1929,0
org.eclipse.text_3.6.0.v20160503-1849,937
org.eclipse.ui_3.108.1.v20160929-1045,5178
org.eclipse.ui.browser_3.5.2.v20161114-0210,1604
org.eclipse.ui.cheatsheets_3.5.0.v20160504-0839,2548
org.eclipse.ui.cocoa_1.1.100.v20151202-1450,0
org.eclipse.ui.console_3.6.201.v20161107-0337,2848
org.eclipse.ui.editors_3.10.1.v20161106-1856,6068
org.eclipse.ui.examples.contributions_3.4.0.v20160401-0528,1100
